ref_id,zs,zb,ifold,dx
33035.0,0.16700001,0.186,0,0.016281057
33047.0,0.72900003,0.73,0,0.0005783615
11961.0,0.20300001,0.21400002,0,0.009143813
25103.0,0.186,0.187,0,0.000843172
14711.0,0.588,0.605,0,0.010705302
25387.0,0.34100002,0.34500003,0,0.0029828544
25793.0,0.734,0.72900003,0,-0.0028835037
17969.0,0.643,0.65900004,0,0.009738304
25499.0,0.83400005,0.845,0,0.0059978063
40573.0,0.257,0.26500002,0,0.0063643726
40439.0,0.67800003,0.67700005,0,-0.00059593987
18169.0,0.43500003,0.43500003,0,0.0
2857.0,0.305,0.30900002,0,0.0030651402
18283.0,0.22000001,0.21200001,0,-0.006557378
40225.0,0.42400002,0.43100002,0,0.0049157296
40697.0,0.078,0.086,0,0.0074211517
16721.0,0.31,0.30900002,0,-0.000763349
33209.0,0.9620001,0.89100003,0,-0.03618758
17147.0,0.34500003,0.34500003,0,0.0
17311.0,0.66200006,0.66300005,0,0.00060167693
59321.0,0.674,0.697,0,0.013739547
19205.0,0.223,0.22600001,0,0.0024529893
41197.0,0.185,0.186,0,0.0008438836
12661.0,0.35000002,0.35500002,0,0.0037037001
41257.0,0.66800004,0.666,0,-0.001199061
12227.0,0.37,0.37100002,0,0.0007299394
41233.0,0.187,0.186,0,-0.00084246165
41267.0,0.37100002,0.36900002,0,-0.0014587921
24515.0,0.439,0.41900003,0,-0.013898527
25033.0,0.558,0.528,0,-0.019255474
12977.0,0.82900006,0.83800006,0,0.0049207234
24765.0,0.446,0.467,0,0.014522821
25045.0,0.342,0.344,0,0.001490316
4823.0,0.88500005,0.88500005,0,0.0
4939.0,0.372,0.36,0,-0.008746352
25107.0,0.79,0.78000003,0,-0.005586587
25001.0,0.82900006,0.83500004,0,0.0032804715
25349.0,0.69500005,0.68,0,-0.008849584
25467.0,0.58500004,0.573,0,-0.007570993
8313.0,0.572,0.564,0,-0.005089069
18925.0,0.374,0.377,0,0.0021833996
19037.0,0.512,0.50600004,0,-0.003968242
19861.0,0.303,0.31,0,0.0053722174
8091.0,0.18400002,0.192,0,0.0067567453
8449.0,0.404,0.38900003,0,-0.01068375
19405.0,0.671,0.674,0,0.0017953446
8195.0,0.34100002,0.35700002,0,0.011931396
20045.0,0.61800003,0.61200005,0,-0.0037082708
59211.0,0.4,0.73800004,0,0.2414286
77877.0,0.79300004,0.79,0,-0.0016731852
45959.0,0.26500002,0.26900002,0,0.0031620618
9563.0,0.80100006,0.82000005,0,0.010549691
27671.0,0.739,0.72200006,0,-0.009775709
27565.0,0.66400003,0.731,0,0.040264405
59611.0,0.90300006,0.89800006,0,-0.0026274277
2751.0,0.42400002,0.42800003,0,0.0028089944
3521.0,0.123,0.123,0,0.0
947.0,0.22800002,0.22700001,0,-0.00081433385
3965.0,0.669,0.68200004,0,0.007789102
8043.0,0.577,0.596,0,0.012048189
5597.0,0.586,0.57100004,0,-0.0094577465
5789.0,0.832,0.837,0,0.002729255
5601.0,0.83400005,0.845,0,0.0059978063
27789.0,0.48000002,0.47500002,0,-0.0033783752
8563.0,0.57900006,0.57600003,0,-0.00189995
5309.0,0.712,0.711,0,-0.0005841046
8621.0,0.50100005,0.52400005,0,0.015323118
11879.0,0.665,0.665,0,0.0
11957.0,0.68200004,0.66400003,0,-0.010701549
5323.0,0.29900002,0.307,0,0.006158573
11757.0,0.43,0.43600002,0,0.0041958126
8983.0,0.84900004,0.845,0,-0.002163336
111717.0,0.81500006,0.81200004,0,-0.0016529041
111641.0,0.49100003,0.504,0,0.008718968
9711.0,0.83800006,0.836,0,-0.0010881576
112623.0,0.49300003,0.49600002,0,0.002009371
112567.0,0.21100001,0.19000001,0,-0.01734104
9909.0,0.402,0.38300002,0,-0.013552064
26131.0,0.73,0.72,0,-0.005780341
10217.0,0.36100003,0.37300003,0,0.008817042
8035.0,0.52400005,0.528,0,0.0026246381
60257.0,0.37800002,0.37600002,0,-0.0014513817
96467.0,0.49,0.50100005,0,0.0073825754
13009.0,0.32200003,0.30900002,0,-0.009833594
11187.0,0.79200006,0.92200005,0,0.072544634
10745.0,0.42400002,0.42900002,0,0.0035112326
97697.0,0.85,0.84300005,0,-0.0037837673
97805.0,0.21200001,0.215,0,0.0024752403
13459.0,0.14600001,0.136,0,-0.008726008
99823.0,0.349,0.35000002,0,0.0007413024
79435.0,0.609,0.609,0,0.0
11509.0,0.665,0.66300005,0,-0.0012011857
79897.0,0.674,0.67600006,0,0.0011947633
79881.0,0.476,0.49400002,0,0.012195126
27459.0,0.665,0.66400003,0,-0.0006005929
26045.0,0.34,0.34300002,0,0.0022388215
27177.0,0.41900003,0.42900002,0,0.0070472094
29401.0,1.445,1.1650001,0,-0.11451941
29325.0,0.68500006,0.67800003,0,-0.00415432
81333.0,0.19500001,0.19100001,0,-0.0033472746
62163.0,0.43500003,0.46,0,0.017421585
10829.0,0.73600006,0.712,0,-0.013824913
10959.0,0.24800001,0.24700001,0,-0.00080128363
100297.0,0.078,0.07700001,0,-0.0009276388
27735.0,0.476,0.48000002,0,0.0027100325
